2024-03-31 11:48:11.4744 INFO Initializing
2024-03-31 11:48:11.6686 INFO Initialization Complete
2024-03-31 11:48:16.3797 INFO Move Enterprise Sprite From: (0, 1)
2024-03-31 11:48:17.4296 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.4659 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.4823 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.4983 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.5152 INFO CurrentX: 1, CurrentY: 2
2024-03-31 11:48:17.5322 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.5491 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.5651 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.5819 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.5991 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.6158 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.6329 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.6498 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.6665 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.6824 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.6992 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.7162 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.7332 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.7505 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.7677 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.7846 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.8016 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.8352 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.8524 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.8694 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.8853 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.9022 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.9192 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.9361 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.9520 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.9683 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:17.9852 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:18.0022 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:18.0193 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:18.0354 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:18.0525 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:18.0695 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:18.0865 INFO CurrentX: 2, CurrentY: 3
2024-03-31 11:48:18.1035 INFO CurrentX: 3, CurrentY: 4
2024-03-31 11:48:18.1035 INFO FINAL COOR: (300, 400)
2024-03-31 11:48:18.1035 INFO FINAL COOR: (300, 400)
2024-03-31 11:49:12.0253 INFO Initializing
2024-03-31 11:49:12.2124 INFO Initialization Complete
2024-03-31 11:49:20.9854 INFO Move Enterprise Sprite From: (0, 1)
2024-03-31 11:49:20.9854 INFO Move Enterprise Sprite To: (6, 5)
2024-03-31 11:49:20.9854 INFO Slope = 4 / 6
2024-03-31 11:49:22.7093 INFO FINAL COOR: (600, 500)
2024-03-31 11:49:22.7093 INFO FINAL COOR: (600, 500)
2024-03-31 11:52:16.4882 INFO Initializing
2024-03-31 11:52:16.6816 INFO Initialization Complete
2024-03-31 11:52:20.6502 INFO Move Enterprise Sprite From: (0, 1)
2024-03-31 11:52:20.6502 INFO Move Enterprise Sprite To: (4, 4)
2024-03-31 11:52:20.6502 INFO Slope = 3 / 4
2024-03-31 11:52:22.3706 INFO FINAL COOR: (400, 400)
2024-03-31 11:52:22.3706 INFO FINAL COOR: (400, 400)
